"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rab6b",437.7707299,-4.760212864,0.211591411,-22.49719324,4.42e-112,8.12e-108
"Bcat1",970.2375277,4.822886335,0.250800375,19.22998054,2.08e-82,1.91e-78
"Gpnmb",1541.975088,4.221666026,0.252242608,16.73653023,7.1e-63,4.35e-59
"Stra6",159.458803,3.989562059,0.258113206,15.45663671,6.81e-54,3.12e-50
"Lama3",1108.182296,2.834881913,0.199722682,14.19409098,9.97e-46,3.66e-42
"Pink1",3069.779044,-3.189984354,0.227301749,-14.03413904,9.64e-45,2.95e-41
"Gm49980",345.0092578,3.131371259,0.229609688,13.63780109,2.39e-42,6.26e-39
"Rbp1",3358.617847,2.06661083,0.153417376,13.47051347,2.33e-41,5.35e-38
"Sox17",484.8808838,3.023025673,0.236329915,12.79154891,1.83e-37,3.73e-34
"Hs3st4",131.26263,8.29253498,0.671702752,12.34554265,5.15e-35,9.45e-32
"Serpinb6b",348.3603167,2.767619656,0.227825082,12.14800248,5.88e-34,9.81e-31
"Zfp990",123.4643213,8.394962771,0.712667432,11.77963576,4.97e-32,7.61e-29
"Gm3164",73.22200793,6.779471744,0.582118729,11.64620103,2.4e-31,3.39e-28
"Ccdc74a",529.2525682,-1.777931127,0.155269628,-11.4506047,2.34e-30,3.06e-27
"Clec4n",140.5235777,4.242848126,0.378938713,11.19666052,4.23e-29,5.18e-26
"Khk",804.5871074,2.230313837,0.200216918,11.13948738,8.06e-29,9.25e-26
"Slc1a1",1823.036733,2.771630462,0.24957488,11.10540639,1.18e-28,1.28e-25
"Plod1",2030.269041,1.810490297,0.167621337,10.801073,3.4e-27,3.47e-24
"Gm3512",50.20664442,3.804663742,0.352413315,10.79602722,3.59e-27,3.47e-24
"Zfp982",44.0457758,-4.945958024,0.471656239,-10.48636192,9.98e-26,9.16e-23
"Gpr179",140.0418139,-3.01880529,0.28891982,-10.44859191,1.49e-25,1.3e-22
"Mmp12",2009.392196,3.938987415,0.383314597,10.27612161,9.03e-25,7.54e-22
"Slc26a10",4726.504643,-2.093819892,0.204154025,-10.25607943,1.11e-24,8.87e-22
"Gm3252",52.03147199,5.509139548,0.554068845,9.943059603,2.7e-23,2.07e-20
"AU018091",43.02270008,6.00234687,0.606617113,9.894786577,4.39e-23,3.22e-20
